Driver Step Detail ID	Audit ID	Driver Step ID	APP Name	Run Name	Group Number	Run Order Number	Run Status Code	Error Process Number	SESSION START DATE TIME	SESSION END DATE TIME	Run Start Date Time	Run End Date Time	Create Date Time	Last Modified Date Time
16706110186	998109	1589120052	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	500	45	S	2	?	?	2016-08-31 13:54:36.880000	2016-08-31 13:54:49.150000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110187	998109	1589120053	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	500	50	S	2	?	?	2016-08-31 13:54:50.590000	2016-08-31 13:55:01.980000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110188	998109	1589120054	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	500	55	S	2	?	?	2016-08-31 13:55:03.530000	2016-08-31 13:55:14.030000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110189	998109	1589120055	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	500	60	S	2	?	?	2016-08-31 13:55:15.380000	2016-08-31 13:55:24.520000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110190	998109	1589120056	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	500	65	S	2	?	?	2016-08-31 13:55:25.890000	2016-08-31 13:55:36.860000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110191	998109	1589120057	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	500	70	S	2	?	?	2016-08-31 13:55:28.040000	2016-08-31 13:55:37.760000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110192	998109	1589120058	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	500	75	S	2	?	?	2016-08-31 13:55:40.260000	2016-08-31 13:55:55.780000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110193	998109	1589120059	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	500	80	S	2	?	?	2016-08-31 13:55:57.410000	2016-08-31 13:56:07.290000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110194	998109	1589120060	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	500	85	S	2	?	?	2016-08-31 13:55:59.650000	2016-08-31 13:56:15.880000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110195	998109	1589120061	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	500	90	S	2	?	?	2016-08-31 13:56:21.880000	2016-08-31 13:56:38.680000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110196	998109	1589120062	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	500	95	S	2	?	?	2016-08-31 13:56:40.500000	2016-08-31 13:56:49.360000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110197	998109	1589120063	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	500	100	S	2	?	?	2016-08-31 13:56:42.720000	2016-08-31 13:56:52.140000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110198	998109	1589120064	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	500	105	S	2	?	?	2016-08-31 13:56:44.960000	2016-08-31 13:57:04.050000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110199	998109	1589120065	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	500	110	S	2	?	?	2016-08-31 13:57:07.070000	2016-08-31 13:57:24.130000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110200	998109	1589120066	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	500	115	S	2	?	?	2016-08-31 13:57:25.600000	2016-08-31 13:57:36.280000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110201	998109	1589120067	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	500	120	S	2	?	?	2016-08-31 13:57:27.700000	2016-08-31 13:57:36.750000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110202	998109	1589120068	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	500	125	S	2	?	?	2016-08-31 13:57:39.840000	2016-08-31 13:57:50.750000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110203	998109	1589120069	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	550	10	S	2	?	?	2016-08-31 13:57:56.600000	2016-08-31 13:58:07.140000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110204	998109	1589120070	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	600	5	S	2	?	?	2016-08-31 13:58:10.640000	2016-08-31 13:58:21.490000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110205	998109	1589120071	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	600	10	S	2	?	?	2016-08-31 13:58:23.270000	2016-08-31 13:58:23.800000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110206	998109	1589120072	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	600	15	S	2	?	?	2016-08-31 13:58:25.490000	2016-08-31 13:59:30.390000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
